0.016	1.80867	0.349798
0.0161	1.9907	0.349818
0.0162	2.15289	0.349838
0.0163	2.29366	0.349857
0.0164	2.41164	0.349877
0.0165	2.50568	0.349897
0.0166	2.57489	0.349917
0.0167	2.6186	0.349936
0.0168	2.6364	0.349956
0.0169	2.62815	0.349976
0.017	2.59396	0.349995
0.0171	2.53418	0.350015
0.0172	2.44943	0.350035
0.0173	2.34058	0.350054
0.0174	2.20873	0.350074
0.0175	2.05519	0.350094
0.0176	1.88151	0.350113
0.0177	1.68942	0.350133
0.0178	1.48083	0.350153
0.0179	1.25783	0.350173
0.018	1.02263	0.350192
0.0181	0.777556	0.350212
0.0182	0.525049	0.350232
0.0183	0.267607	0.350251
0.0184	0.00777567	0.350271
0.0185	0.251876	0.350291
0.0186	0.508784	0.35031
0.0187	0.760414	0.35033
